Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S124      ,2000      ,   0.675,  0.013,   4388, 4388.0, 4388.0,   5247,   3067
S125      ,2000      ,   0.249,  0.049,     27,   27.0,   27.0,    285,      0
S126      ,2000      ,   0.712,  0.015,   4238, 4238.0, 4238.2,   4946,   2984
S127      ,2000      ,   0.287,  0.015,    383,  383.0,  383.0,   1685,    126
S128      ,2000      ,   0.299,  0.027,    129,  129.0,  129.0,    899,     10
S129      ,2000      ,   0.540,  0.012,   2813, 2813.0, 2813.0,   4336,   1557
S13       ,2000      ,   0.928,  0.351,     10,   10.0,   10.0,     83,      0
S130      ,2000      ,   0.250,  0.136,      4,    4.0,    4.0,     38,      0
S131      ,2000      ,   0.264,  0.018,    234,  234.0,  234.0,    967,     60
S132      ,2000      ,   0.312,  0.062,     31,   31.0,   31.0,    156,     10
S133      ,2000      ,   0.183,  0.023,     66,   66.0,   66.0,    388,     13
S134      ,2000      ,   1.390,  1.583,      1,    1.0,    1.0,     12,      0
S135      ,2000      ,   0.211,  0.091,      6,    6.0,    6.0,     39,      0
S136      ,2000      ,   0.348,  0.013,    808,  808.0,  808.0,   3446,     84
S137      ,2000      ,   0.246,  0.028,     83,   83.0,   83.0,    556,      7
S138      ,2000      ,   0.270,  0.018,    236,  236.0,  236.0,    964,     73
S139      ,2000      ,   0.453,  0.009,   3567, 3567.0, 3567.0,   5259,   1949
S14       ,2000      ,   0.272,  0.061,     22,   22.0,   22.0,    178,      0
S140      ,2000      ,   0.353,  0.011,   1127, 1127.0, 1127.0,   3519,    358
S141      ,2000      ,   0.486,  0.012,   2159, 2159.0, 2159.0,   3724,   1348
S142      ,2000      ,   0.219,  0.017,    167,  167.0,  167.0,   1175,     18
S143      ,2000      ,   0.487,  0.009,   3615, 3615.0, 3615.0,   5181,   2177
S144      ,2000      ,   0.470,  0.010,   3051, 3051.0, 3051.0,   5183,   1402
S145      ,2000      ,   0.277,  0.019,    239,  239.0,  239.0,    799,     95
S146      ,2000      ,   1.233,  0.037,   5121, 5121.0, 5121.0,   5279,   3555
S147      ,2000      ,   0.346,  0.011,   1093, 1093.0, 1093.0,   3579,    269
S148      ,2000      ,   0.167,  0.039,     20,   20.0,   20.0,    157,      6
S149      ,2000      ,   0.444,  0.012,   1605, 1605.0, 1605.0,   3541,    837
S15       ,2000      ,   0.462,  0.103,     25,   25.0,   25.0,    155,      3
S150      ,2000      ,   0.480,  0.010,   2737, 2737.0, 2737.0,   4601,   1403
S151      ,2000      ,   0.661,  0.013,   4171, 4171.0, 4171.0,   5078,   2884
S152      ,2000      ,   0.578,  0.011,   4142, 4142.0, 4142.0,   5261,   2724
S153      ,2000      ,   0.176,  0.047,     15,   15.0,   15.0,    119,      1
S154      ,2000      ,   0.163,  0.032,     29,   29.0,   29.0,    192,      9
S155      ,2000      ,   0.242,  0.017,    211,  211.0,  211.0,   1018,     78
S156      ,2000      ,   0.203,  0.063,     11,   11.0,   11.0,    143,      0
S157      ,2000      ,   0.391,  0.011,   1454, 1454.0, 1454.0,   3619,    547
S158      ,2000      ,   0.290,  0.071,     18,   18.0,   18.0,    177,      0
S159      ,2000      ,   0.339,  0.012,    818,  818.0,  818.0,   3286,    179
S16       ,2000      ,   0.246,  0.031,     66,   66.0,   66.0,    532,      1
S160      ,2000      ,   0.380,  0.018,    513,  513.0,  513.0,   1631,    176
S161      ,2000      ,   0.698,  0.015,   3897, 3897.0, 3897.0,   4779,   2640
S162      ,2000      ,   0.501,  0.011,   3052, 3052.0, 3052.0,   4674,   1874
