"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
5966,209,79,0.78,2.7,40.96,0.88,98,127.5,5
5967,210,95,0.781,2.81,40.21,0.88,96.9,127.4,4
5968,211,79,0.783,2.91,39.38,0.88,95.8,126.6,4
5969,212,92,0.786,2.96,38.61,0.88,95.3,126,3
5970,213,89,0.788,2.96,35.21,0.88,95.2,125.7,3
5971,214,84,0.788,2.96,34.78,0.88,95.5,126.2,3
5972,215,109,0.787,2.93,33.55,0.88,96,126.6,3
5974,216,44,0.786,2.9,32.98,0.88,96.8,127.4,3
6041,217,107,0.749,2.85,36.88,0.88,93.4,127.1,8
6042,218,98,0.749,2.81,37.54,0.88,93.9,127.1,9
6043,219,103,0.75,2.75,38.09,0.88,94.5,127.3,9
6044,220,101,0.751,2.66,38.78,0.88,95.6,127.7,10
6045,221,110,0.755,2.57,37.89,0.88,96.7,127.6,11
6046,222,96,0.76,2.51,36.27,0.88,97.5,127.5,10
6047,223,117,0.771,2.47,36.87,0.88,98.1,126.5,8
6048,224,115,0.782,2.44,38.23,0.88,98.1,124.8,6
6049,225,104,0.791,2.41,37.49,0.88,97.2,122.3,5
6050,226,62,0.795,2.4,37.07,0.88,96.1,120.4,4
6051,227,101,0.799,2.37,37.07,0.88,96.6,120.3,4
6052,228,107,0.802,2.27,37.07,0.88,98.6,121.3,5
6053,229,95,0.806,2.13,37.07,0.88,101.1,122.3,6
6054,230,99,0.812,1.95,37.07,0.88,103.9,122.9,6
6055,231,109,0.819,1.79,37.07,0.88,106.4,122.9,7
6056,232,126,0.828,1.62,37.07,0.88,108.7,122.3,7
6057,233,113,0.836,1.51,37.07,0.88,110.3,121.8,7
6058,234,131,0.84,1.46,37.74,0.88,110.9,121.4,6
6059,235,95,0.838,1.5,39.16,0.88,110.4,121.7,6
6060,236,94,0.831,1.6,39.52,0.88,109,122.2,6
6061,237,90,0.821,1.73,39.15,0.88,107.4,123.1,6
6062,238,114,0.809,1.88,38.35,0.88,105.5,124.1,6
6063,239,136,0.798,2.09,38.57,0.88,103.7,125.8,6
6064,240,116,0.789,2.34,39.3,0.88,102.1,127.7,5
6065,241,121,0.784,2.6,39.26,0.88,100.1,128.8,5
6066,242,88,0.784,2.84,39.59,0.88,97.8,128.5,4
6067,243,103,0.787,2.94,39.42,0.88,96.4,127.2,3
6068,244,79,0.79,3,39.27,0.88,95.4,125.9,4
6069,245,101,0.792,3,37.83,0.88,95.1,125.4,4
6070,246,101,0.791,2.99,37.54,0.88,95.4,125.7,4
6071,247,90,0.789,2.97,35.72,0.88,95.8,126.3,4
6072,248,95,0.788,2.95,35.49,0.88,96.5,127.3,3
6073,249,117,0.787,2.91,34.55,0.88,97.2,127.9,2
6074,250,124,0.785,2.9,34.33,0.88,97.3,128,3
6075,251,129,0.784,2.87,33.64,0.88,97.6,128.3,4
6076,252,119,0.784,2.87,33.66,0.88,97.8,128.6,4
6141,253,110,0.754,2.75,36.6,0.88,94.6,127.1,8
6142,254,110,0.756,2.69,37.37,0.88,95.4,127.2,8
6143,255,112,0.759,2.59,38.75,0.88,96.6,127.3,9
6144,256,109,0.763,2.47,39.85,0.88,98.2,127.5,10
6145,257,108,0.769,2.35,39.23,0.88,99.9,127.6,10
6146,258,115,0.778,2.28,36.02,0.88,101.2,127.2,9
6147,259,113,0.789,2.27,34.84,0.88,101.3,126,7
6148,260,124,0.797,2.29,36.18,0.88,100.1,123.9,5
6149,261,97,0.805,2.21,37.01,0.88,99.5,121.4,4
6150,262,57,0.813,2.1,37.02,0.88,99.4,119.1,4
6151,263,103,0.818,2.01,37.02,0.88,100.2,118.6,4
6152,264,87,0.822,1.95,37.02,0.88,101.5,119,4
6153,265,111,0.824,1.87,37.03,0.88,103.2,119.8,4
6154,266,85,0.826,1.79,37.03,0.88,104.9,120.6,5
6155,267,102,0.827,1.73,37.03,0.88,106.2,121.1,5
6156,268,117,0.832,1.63,37.03,0.88,107.8,121,5
6157,269,89,0.836,1.56,37.03,0.88,109.1,121,5
6158,270,131,0.838,1.53,37.03,0.88,109.7,121.2,5
6159,271,138,0.836,1.56,38.26,0.88,109.7,121.9,5
6160,272,121,0.83,1.62,38.77,0.88,109.6,123.1,5
6161,273,120,0.822,1.71,37.96,0.88,109,124.6,6
6162,274,107,0.812,1.84,35.99,0.88,107.7,125.9,6
6163,275,129,0.799,2.08,35.76,0.88,105.6,127.8,6
6164,276,140,0.789,2.41,37.43,0.88,102.9,129.6,5
6165,277,115,0.784,2.8,38.78,0.88,99.5,130.3,4
6166,278,80,0.787,3.06,38.71,0.88,96.6,128.7,3
6167,279,121,0.794,3.09,39.72,0.88,95.4,126.3,3
6168,280,126,0.797,3.06,39.88,0.88,94.8,124.7,3
6169,281,113,0.797,3.02,40.66,0.88,95.1,124.8,3
6170,282,86,0.794,3,39.28,0.88,95.4,125.5,3
6171,283,93,0.79,3,38.04,0.88,96.1,126.8,3
6172,284,88,0.788,2.97,36.67,0.88,96.9,127.9,3
6173,285,109,0.785,2.94,35.34,0.88,97.3,128.4,2
6174,286,91,0.784,2.93,35.95,0.88,97.6,128.9,3
6175,287,130,0.783,2.89,34.75,0.88,97.9,128.9,3
6176,288,130,0.783,2.89,34.65,0.88,98,129.2,4
6177,289,133,0.783,2.86,33.95,0.88,98.2,129.3,4
6241,290,119,0.762,2.63,37.42,0.88,96.2,126.8,8
6242,291,120,0.765,2.55,38.59,0.88,97.2,126.8,8
6243,292,90,0.769,2.43,39.58,0.88,98.7,127,8
6244,293,120,0.777,2.29,41.21,0.88,100.7,126.8,9
6245,294,128,0.784,2.18,40.99,0.88,102.2,126.7,8
6246,295,124,0.793,2.13,36.87,0.88,103.1,125.9,7
6247,296,118,0.804,2.08,34.46,0.88,102.8,124,6
6248,297,113,0.812,2.02,34.58,0.88,101.8,121.1,5
6249,298,61,0.822,1.87,36.67,0.88,102.1,118.8,4
6250,299,126,0.831,1.77,36.65,0.88,102.9,117.6,4
6251,300,109,0.837,1.68,36.63,0.88,104,116.9,3
6252,301,81,0.84,1.65,36.64,0.88,104.6,117,3
6253,302,118,0.842,1.61,36.65,0.88,105.5,117.4,3
6254,303,114,0.842,1.58,36.65,0.88,106.7,118.2,3
6255,304,105,0.84,1.57,36.65,0.88,107.3,119.1,4
6256,305,106,0.838,1.57,36.66,0.88,107.8,119.9,4
6257,306,91,0.837,1.58,36.65,0.88,108.4,120.7,4
6258,307,85,0.837,1.59,36.65,0.88,109.1,121.6,4
6259,308,102,0.836,1.6,37.2,0.88,109.8,122.7,4
6260,309,118,0.833,1.62,38.03,0.88,110.7,124.2,5
6261,310,90,0.827,1.69,37.94,0.88,110.7,125.6,5
6262,311,113,0.815,1.84,37.38,0.88,109.2,127.1,5
6263,312,92,0.802,2.11,36.28,0.88,106.4,128.7,5
6264,313,99,0.791,2.49,36.16,0.88,102.7,130.2,4
6265,314,76,0.788,2.92,37.88,0.88,98.7,129.9,3
6266,315,76,0.793,3.14,39.88,0.88,96.2,127.7,3
6267,316,134,0.801,3.14,39.34,0.88,94.8,125,4
6268,317,119,0.804,3.05,40.66,0.88,94.5,123.3,4
6269,318,123,0.804,3,41.81,0.88,94.9,123.4,4
6270,319,95,0.798,3,41.49,0.88,95.6,125,4
6271,320,105,0.793,3.04,39.17,0.88,96.3,127,4
6272,321,85,0.788,3.04,38.08,0.88,97,128.5,3
6273,322,94,0.785,2.97,37.57,0.88,97.7,129.1,2
6274,323,125,0.783,2.93,37.04,0.88,98.2,129.6,3
6275,324,109,0.782,2.9,37.32,0.88,98.6,130.1,3
6276,325,104,0.783,2.86,36.13,0.88,98.8,129.9,3
