"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
6362,348,110,0.828,0.5,37.45,0.74,110.9,88.1,3
6363,349,84,0.816,0.53,37.24,0.74,107.6,86.8,3
6364,350,82,0.805,0.55,37.09,0.74,103.7,84.7,4
6365,351,99,0.799,0.56,36.95,0.74,99.8,81.8,5
6366,352,111,0.802,0.51,37.88,0.74,97.4,77.8,6
6367,353,84,0.808,0.47,38.85,0.74,96,74.7,6
6368,354,121,0.811,0.46,40.04,0.74,95.3,73.9,5
6369,355,139,0.81,0.49,39.7,0.74,94.9,75,5
6370,356,93,0.805,0.55,39.33,0.74,95.6,78.1,4
6371,357,109,0.797,0.61,38.15,0.74,96.6,81.3,4
6372,358,77,0.791,0.66,38.38,0.74,97.7,84.2,3
6373,359,116,0.786,0.69,38.6,0.74,98.5,86.4,3
6374,360,137,0.784,0.7,38.38,0.74,99.1,87.4,3
6375,361,119,0.783,0.71,37.62,0.74,99.1,87.8,3
6376,362,67,0.782,0.72,36.98,0.74,99.3,88.1,2
6377,363,85,0.782,0.72,36.41,0.74,99.4,88.4,2
6378,364,105,0.782,0.72,36,0.74,99.6,88.4,2
6442,365,79,0.789,0.72,39.95,0.74,101,89.7,5
6443,366,84,0.798,0.68,41.59,0.74,103,89.8,5
6444,367,121,0.807,0.63,42.81,0.74,104.6,88.9,5
6445,368,147,0.813,0.58,41.4,0.74,105,87.1,4
6446,369,112,0.821,0.53,39.28,0.74,104.6,84.5,4
6447,370,126,0.834,0.49,36.52,0.74,104.9,82.7,3
6448,371,114,0.844,0.46,35.27,0.74,105.2,81.6,4
6449,372,107,0.847,0.44,34.8,0.74,104.9,80.5,4
6450,373,105,0.848,0.43,34.66,0.74,104.2,79.3,3
6451,374,107,0.846,0.43,36.33,0.74,103.2,78.7,4
6452,375,103,0.846,0.42,36.78,0.74,103,78.1,4
6453,376,119,0.847,0.41,36.92,0.74,103.6,78.2,4
6454,377,96,0.85,0.4,36.69,0.74,105.5,78.9,3
6455,378,100,0.853,0.38,36.42,0.74,107.7,79.7,4
6456,379,100,0.852,0.37,36.06,0.74,109.3,80.6,4
6457,380,91,0.848,0.38,35.46,0.74,110.2,81.6,3
6458,381,118,0.846,0.39,35.42,0.74,111.4,82.8,4
6459,382,114,0.847,0.39,35.17,0.74,112.8,84,4
6460,383,116,0.847,0.4,34.8,0.74,113.6,84.8,3
6461,384,126,0.844,0.4,35.81,0.74,113.2,84.8,3
6462,385,90,0.837,0.42,36.7,0.74,111.4,84.3,3
6463,386,100,0.83,0.44,37.4,0.74,108.6,83.5,4
6464,387,113,0.823,0.46,37.15,0.74,105.6,82.1,4
6465,388,97,0.816,0.47,37.06,0.74,102.7,80.1,5
6466,389,88,0.814,0.45,37.05,0.74,100.5,77.5,5
6467,390,51,0.814,0.43,37.56,0.74,98.5,75,6
6468,391,117,0.816,0.42,37.27,0.74,96.8,73.4,6
6469,392,120,0.818,0.45,37.67,0.74,96.6,74.6,5
6470,393,100,0.814,0.51,36.16,0.74,97,77.3,4
6471,394,121,0.805,0.57,36.23,0.74,98,81,3
6472,395,96,0.796,0.64,37.81,0.74,98.8,84.3,3
6473,396,133,0.788,0.68,38.81,0.74,99.4,86.7,2
6474,397,126,0.785,0.7,38.87,0.74,99.9,87.9,3
6475,398,90,0.783,0.72,38.06,0.74,99.8,88.5,3
6476,399,106,0.783,0.72,37.5,0.74,99.9,88.7,3
6477,400,89,0.782,0.72,36.59,0.74,99.8,88.8,3
6478,401,119,0.782,0.73,36.28,0.74,99.9,88.9,3
6542,402,140,0.802,0.66,40.87,0.74,102.6,88.3,5
6543,403,118,0.81,0.62,42.44,0.74,104.1,87.8,5
6544,404,81,0.817,0.57,42.36,0.74,104.9,86.3,4
6545,405,89,0.824,0.52,40.97,0.74,105,84.1,3
6546,406,121,0.832,0.5,40.15,0.74,104.9,83.1,3
6547,407,123,0.841,0.47,36.74,0.74,105.5,82.4,4
6548,408,126,0.846,0.46,35.69,0.74,105.5,81.8,4
6549,409,123,0.839,0.47,35.3,0.74,104,81.3,4
6550,410,115,0.834,0.48,34.8,0.74,102.3,80.3,4
6551,411,126,0.831,0.47,34.27,0.74,100.7,78.8,4
6552,412,113,0.834,0.45,36.19,0.74,100.6,77.7,4
6553,413,105,0.839,0.43,36.48,0.74,101.5,77.2,4
6554,414,114,0.847,0.39,35.59,0.74,103.7,77.2,4
6555,415,86,0.852,0.35,35.67,0.74,106.5,77.3,3
6556,416,100,0.853,0.32,35.69,0.74,108.6,77.1,4
6557,417,108,0.85,0.33,36.12,0.74,109.9,78.3,4
6558,418,125,0.848,0.35,36.29,0.74,110.8,80.2,4
6559,419,127,0.846,0.37,36.12,0.74,111.8,81.6,4
6560,420,104,0.845,0.36,35.57,0.74,112,81.6,4
6561,421,99,0.843,0.37,34.75,0.74,111.7,82.1,4
6562,422,112,0.841,0.4,34.61,0.74,111,82.8,3
6563,423,91,0.838,0.41,34.76,0.74,109.7,82.3,3
6564,424,112,0.835,0.42,35.55,0.74,108.1,81.6,4
6565,425,56,0.83,0.42,35.6,0.74,106.1,80.1,5
6566,426,75,0.825,0.41,35.54,0.74,104.1,78.4,5
6567,427,107,0.822,0.41,35.57,0.74,101.7,76.6,5
6568,428,99,0.824,0.41,35.52,0.74,100.2,75.4,5
6569,429,120,0.826,0.42,34.62,0.74,99.1,75.1,4
6570,430,110,0.822,0.46,34.05,0.74,99.1,77,4
6571,431,107,0.813,0.53,35.7,0.74,99.7,80.5,3
6572,432,120,0.801,0.61,38.19,0.74,100.2,84.2,2
6573,433,102,0.793,0.66,39.02,0.74,100.5,86.7,3
6574,434,133,0.788,0.69,38.87,0.74,100.9,88.4,3
6575,435,102,0.785,0.71,38.25,0.74,100.9,89.1,3
6576,436,82,0.783,0.72,37.33,0.74,100.6,89.4,3
6577,437,71,0.783,0.72,36.64,0.74,100.6,89.4,3
6643,438,91,0.818,0.56,41.72,0.74,104.5,85.7,4
6644,439,92,0.824,0.52,40.92,0.74,104.8,84,3
6645,440,115,0.832,0.49,40.82,0.74,105,82.8,3
6646,441,104,0.838,0.48,38.76,0.74,105.4,82.7,4
6647,442,106,0.844,0.48,37.51,0.74,106.1,83.1,5
6648,443,115,0.843,0.48,34.79,0.74,105.5,82.6,4
6649,444,123,0.832,0.5,34.29,0.74,103.8,82.5,4
6650,445,121,0.823,0.52,33.38,0.74,101.7,81.7,4
6651,446,124,0.82,0.51,33.54,0.74,100.3,80.2,3
6652,447,88,0.826,0.47,33.45,0.74,100,78.2,3
6653,448,99,0.837,0.42,34.73,0.74,101.3,76.8,3
6654,449,129,0.848,0.37,35.91,0.74,103.5,75.8,2
