Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S132      ,1985      ,   0.588,  0.140,     21,   21.0,   21.0,    109,      0
S133      ,1985      ,   0.476,  0.109,     24,   24.0,   24.0,    115,      2
S134      ,1985      ,   0.321,  0.024,    197,  197.0,  197.0,    599,     38
S135      ,1985      ,   0.512,  0.029,    431,  431.0,  431.0,    624,    230
S136      ,1985      ,   1.215,  1.298,      2,    2.0,    2.0,      8,      0
S137      ,1985      ,   0.230,  0.179,      2,    2.0,    2.0,     20,      0
S138      ,1985      ,   0.462,  0.087,     32,   32.0,   32.0,    179,      0
S139      ,1985      ,   0.814,  0.053,    583,  583.0,  583.0,    628,    415
S14       ,1985      ,   0.354,  0.025,    240,  240.0,  240.0,    600,     57
S140      ,1985      ,   1.665,  0.300,    624,  624.0,  623.6,    628,    437
S141      ,1985      ,   0.600,  0.033,    535,  535.0,  535.0,    628,    376
S142      ,1985      ,   2.018,  0.624,    627,  627.0,  625.8,    628,    438
S143      ,1985      ,   0.453,  0.025,    425,  425.0,  425.0,    624,    237
S144      ,1985      ,   0.660,  0.038,    555,  555.0,  555.0,    628,    402
S145      ,1985      ,   1.878,  0.470,    626,  626.0,  625.2,    628,    438
S146      ,1985      ,   1.009,  0.079,    605,  605.0,  605.0,    628,    434
S147      ,1985      ,   0.613,  0.035,    530,  530.0,  530.0,    628,    353
S148      ,1985      ,   0.403,  0.024,    333,  333.0,  333.0,    618,    111
S149      ,1985      ,   0.448,  0.085,     34,   34.0,   34.0,    167,      2
S15       ,1985      ,   0.913,  0.065,    595,  595.0,  595.0,    628,    419
S150      ,1985      ,   0.809,  0.052,    584,  584.0,  584.0,    628,    409
S151      ,1985      ,   2.184,  0.856,    628,  628.0,  626.4,    628,    438
S152      ,1985      ,   0.681,  0.040,    564,  564.0,  564.0,    628,    413
S153      ,1985      ,   1.673,  0.304,    624,  624.0,  623.6,    628,    438
S154      ,1985      ,   0.669,  0.039,    557,  557.0,  557.0,    628,    397
S155      ,1985      ,   0.242,  0.094,      8,    8.0,    8.0,     58,      1
S156      ,1985      ,   1.249,  0.129,    616,  616.0,  616.0,    628,    436
S157      ,1985      ,   0.840,  0.055,    589,  589.0,  589.0,    628,    419
S158      ,1985      ,   1.220,  0.280,     38,   38.0,   38.0,     91,      4
S159      ,1985      ,   0.441,  0.024,    428,  428.0,  428.0,    628,    233
S16       ,1985      ,   0.359,  0.028,    188,  188.0,  188.0,    582,     16
S160      ,1985      ,   0.681,  0.040,    564,  564.0,  564.0,    628,    411
S161      ,1985      ,   0.581,  0.376,      3,    3.0,    3.0,     24,      0
S162      ,1985      ,   0.447,  0.026,    375,  375.0,  375.0,    617,    177
S163      ,1985      ,   0.279,  0.063,     21,   21.0,   21.0,    172,      0
S164      ,1985      ,   0.373,  0.027,    219,  219.0,  219.0,    570,     51
S165      ,1985      ,   0.432,  0.168,      8,    8.0,    8.0,     53,      0
S166      ,1985      ,   0.418,  0.058,     58,   58.0,   58.0,    307,      0
S167      ,1985      ,   0.153,  0.074,      5,    5.0,    5.0,     46,      2
S168      ,1985      ,   0.982,  0.074,    603,  603.0,  603.0,    628,    419
