Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
6341      ,    327,     41,  0.906,  2.93,   4.08,  0.940,     110.8,     126.1,    4
6342      ,    328,    122,  0.906,  2.83,   3.83,  0.940,     112.1,     127.4,    3
6343      ,    329,    115,  0.869,  3.21,   4.54,  0.940,     109.2,     131.4,    8
6344      ,    330,    100,  0.881,  2.97,   4.68,  0.940,     108.6,     127.6,    6
6345      ,    331,    136,  0.921,  1.57,   4.68,  0.940,     118.4,     124.8,    4
6346      ,    332,    120,  0.929,  1.32,   4.68,  0.940,     120.5,     124.2,    3
6347      ,    333,    132,  0.925,  1.48,   4.68,  0.940,     118.2,     123.5,    3
6348      ,    334,    117,  0.880,  2.14,   4.68,  0.940,     110.5,     124.8,   12
6349      ,    335,     79,  0.800,  4.49,   4.68,  0.940,      94.2,     129.2,   68
6350      ,    336,     93,  0.770,  5.20,   4.68,  0.940,      86.2,     128.5,   87
6351      ,    337,    101,  0.849,  3.17,   4.68,  0.940,     104.7,     128.3,   76
6352      ,    338,    135,  0.851,  4.12,   4.68,  0.940,      97.5,     123.9,    9
6353      ,    339,     97,  0.862,  3.12,   4.68,  0.940,     101.5,     122.3,    9
6354      ,    340,    118,  0.891,  2.88,   4.68,  0.940,     106.0,     122.7,    5
6355      ,    341,    121,  0.914,  2.27,   4.68,  0.940,     106.7,     117.3,    4
6356      ,    342,     92,  0.919,  1.76,   4.70,  0.940,     105.7,     112.8,    3
6357      ,    343,     99,  0.878,  4.22,   4.73,  0.940,      98.2,     120.8,    3
6358      ,    344,    113,  0.864,  4.82,   4.57,  0.940,     102.0,     131.6,    9
6359      ,    345,    124,  0.868,  3.61,   4.57,  0.940,     110.2,     135.3,   44
6360      ,    346,    105,  0.897,  2.86,   4.57,  0.940,     113.1,     130.0,    4
6361      ,    347,    126,  0.885,  2.95,   4.57,  0.940,     111.1,     129.7,    5
6362      ,    348,    110,  0.870,  4.01,   4.57,  0.940,     104.1,     129.2,    5
6363      ,    349,     84,  0.870,  3.20,   4.57,  0.940,     111.2,     133.8,   20
6364      ,    350,     82,  0.856,  3.43,   4.57,  0.940,     107.9,     133.4,   81
6365      ,    351,     99,  0.847,  4.79,   4.57,  0.940,      97.9,     126.9,    3
6366      ,    352,    111,  0.826,  8.19,   4.57,  0.940,      87.6,     128.8,   11
6367      ,    353,     84,  0.855,  3.32,   4.57,  0.940,     106.9,     131.5,   57
6368      ,    354,    121,  0.918,  1.85,   4.57,  0.940,     125.2,     134.4,    3
6369      ,    355,    139,  0.892,  2.73,   4.57,  0.940,     115.4,     132.6,    4
6370      ,    356,     93,  0.870,  3.62,   4.57,  0.940,     103.8,     127.0,    8
6371      ,    357,    109,  0.884,  4.34,   4.57,  0.940,      95.1,     116.7,    5
6372      ,    358,     77,  0.872,  4.37,   4.57,  0.940,      94.3,     118.2,    6
6373      ,    359,    116,  0.857,  6.34,   4.57,  0.940,      97.0,     130.1,    4
6374      ,    360,    137,  0.845,  4.41,   4.57,  0.940,     104.8,     135.8,   11
6375      ,    361,    119,  0.878,  2.64,   4.57,  0.940,     117.7,     136.5,    9
6376      ,    362,     67,  0.858,  3.35,   4.76,  0.940,     115.3,     141.1,   17
6377      ,    363,     85,  0.861,  2.69,   4.70,  0.940,     118.3,     140.1,   83
6378      ,    364,    105,  0.878,  2.11,   3.83,  0.940,     122.4,     138.2,   86
6442      ,    365,     79,  0.862,  2.14,   3.59,  0.940,     108.7,     124.8,   97
6443      ,    366,     84,  0.855,  3.57,   3.66,  0.940,     105.5,     131.4,   80
6444      ,    367,    121,  0.883,  2.92,   4.54,  0.940,     114.5,     133.8,    5
6445      ,    368,    147,  0.890,  2.69,   4.54,  0.940,     121.2,     139.1,    7
6446      ,    369,    112,  0.910,  2.15,   4.68,  0.940,     126.9,     139.5,    3
6447      ,    370,    126,  0.905,  2.34,   4.68,  0.940,     121.9,     135.7,    2
6448      ,    371,    114,  0.857,  2.79,   4.68,  0.940,     112.0,     133.7,   16
6449      ,    372,    107,  0.796,  4.47,   4.68,  0.940,      92.1,     126.9,   18
6450      ,    373,    105,  0.828,  4.08,   4.68,  0.940,      97.6,     127.8,   84
6451      ,    374,    107,  0.862,  3.89,   4.68,  0.940,     104.1,     129.5,    6
6452      ,    375,    103,  0.849,  3.55,   4.68,  0.940,     105.7,     132.1,   70
6453      ,    376,    119,  0.888,  2.41,   4.68,  0.940,     115.2,     130.8,    9
6454      ,    377,     96,  0.907,  2.03,   4.68,  0.940,     110.6,     121.1,    6
6455      ,    378,    100,  0.922,  1.82,   4.68,  0.940,     111.7,     119.3,    3
6456      ,    379,    100,  0.908,  2.58,   4.68,  0.940,     104.8,     117.7,    5
6457      ,    380,     91,  0.917,  3.77,   4.68,  0.940,      95.9,     110.9,    6
6458      ,    381,    118,  0.897,  3.95,   4.70,  0.940,     101.0,     120.7,    4
6459      ,    382,    114,  0.916,  2.07,   4.57,  0.940,     110.0,     119.5,    3
6460      ,    383,    116,  0.908,  2.54,   4.57,  0.940,     114.8,     128.6,    4
6461      ,    384,    126,  0.890,  3.15,   4.57,  0.940,     108.4,     127.1,    4
6462      ,    385,     90,  0.881,  2.46,   4.57,  0.940,     110.6,     126.7,   11
6463      ,    386,    100,  0.852,  4.58,   4.57,  0.940,      96.9,     125.0,    6
6464      ,    387,    113,  0.837,  5.31,   4.57,  0.940,      88.9,     120.9,   65
6465      ,    388,     97,  0.859,  4.74,   4.57,  0.940,      88.5,     113.9,    4
6466      ,    389,     88,  0.863,  5.38,   4.57,  0.940,      94.6,     122.2,    3
6467      ,    390,     51,  0.863,  3.35,   4.57,  0.940,     108.2,     131.8,   17
6468      ,    391,    117,  0.866,  3.70,   4.57,  0.940,     112.1,     137.5,    5
6469      ,    392,    120,  0.886,  2.55,   4.57,  0.940,     121.5,     139.5,   12
6470      ,    393,    100,  0.857,  4.01,   4.57,  0.940,     112.0,     142.0,   81
